제목,아이디,댓글 제목,내용,작성일자
한라산 국립공원,ㅇㅊㄱ,영실코스,영실코스 매표소 지나서 주차장 하나 더 있어요매표소에서 입구까지 걸어서는 40분정도 걸리니 참고하세요병풍바위까지만 가파르고 그 다음부터는 산책수준이에요,2017년 11월 2일
한라산 국립공원,Rachel,좋다,오르는 구간마다 다른 모습을 보여준다조금 힘들긴해도 한국의 산들 중 독특한 매력을 가진 최고의 산이다,2017년 11월 1일
한라산 국립공원,editha1004,언제나 멋진 산 한라산,웅장한 산세와 숲사이로 흐르는 맑은 공기에 온몸을 맡기고사부작사부작 오르다 보면 진달래 대피소가 나오고거기서 부턴 좀더 많은 힘을 요구하지만백록담에 오르면 씻은듯이 말짱해지는 신비의 명산까마귀떼의 요란한 합창소리와 함께어우러진 대자연의 조화에 탄복하고 만다,2017년 10월 8일
한라산 국립공원,hahahahahahahan,등산 최고봉,쉬운코스라길래 청바지입고 올라갔다가 춥고 힘들었지만 제주도중에서도 가장 좋은 자연을 느낄수 있어서 제일 좋았던곳이라고 생각함,2017년 10월 2일
한라산 국립공원,803mihyunk,날씨에 상관없이 가볼만한 ??!!,국내 오를 만한 탑 3 산중 가장 쉽게 오르며 진짜 경치를 볼 수 있는 산날씨가 허락한다면 산자락에 붙은 바다와 하늘을 한 눈에 볼 수 있다.오른 코스는 영실코스로 쉽게 오를 수 있는 비교적 짧은 코스지만 한라산은 제대로 볼 수 있다.,2017년 9월 28일
한라산 국립공원,juzzang01,제주 최고의 명소는 한라산이죠^^,제주 최고의 명소는 한라산이죠^^저에게 한라산은 사계절 제주도 최고의 명소랍니다~11월 한라산은 시원하고 따뜻하고 단풍과 낙엽 정말 좋았습니다,2017년 9월 24일
한라산 국립공원,uliee,어느 쪽 루트로 오르셔도 쉬운 코스는 없더이다...,제주에 자주 갑니다. 그 중 한라산에 오른 건 세 번. 그나마 쉽다는 코스를 골라 오른 것이지만 정말 제겐 힘들더군요.하지만 그 힘듦을 지나고 나면 온 걸 후회하는 분은 없을 것으로 확신합니다. (성판악 코스 쪽이 그나마 조금 덜 힘들었네요. 안 힘든 건 아님 ㅠㅠ)코스가 여럿이라 전부 다녀보고 싶습니다. 여행을 세계 각 국으로 꽤 많이 다녀봤다고 나름 생각하지만 제주 한라산은 그 중 다섯 손가락 안에 꼽을 수 있을 만큼 정말 아름다운 곳입니다. 외국인이 이 글을 본다면 한국에 오면 꼭 들러볼 곳으로 강력 추천합니다.,2017년 9월 21일
한라산 국립공원,jaejungk2016,제주도에 있는 한국의 대표적인 산,"제주도 한라산의 화산활동으로 생긴 산으로, 사시사찰 아름다운 장관을 볼수 있다.산정상은 시월말부터 내린 눈이 이듬해 봄까지 녹지 않아 겨울철 등반 코스가 특히 인기 있다.현재 6개의 등반 코스가 개방되어 있다.",2017년 9월 7일 
한라산 국립공원,마늘씨,한국을 대표하는 산,"제주도를, 한국을 대표하는 산 중 하나인 한라산, 그리고 어리묵 코스다. 어리묵코스는 초보자들도 등산하기 쉬운 코스이고, 외국인들도 등산하기에 좋은 산이다.",2017년 7월 9일 
한라산 국립공원,HJ LEE,한국에서 제일 높은 명산,한국에서 제일 높은 산이다. 정상 백록담까지 올라가는 코스는 성판악과 관음사 코스 2가지가 있다. 2가지 모두 상당한 체력 소모를 요하는 코스로 성판악 코스가 관음사 코스보다는 조금 쉬운 편이다. 올라가는 방향은 성판악 코스로 내려오는 코스는 관음사 코스로 움직였다. 2코스 모두 매력적인 경치를 볼 수 있다.,2017년 7월 8일 
한라산 국립공원,42bryant,체력된다면 필수 제주 코스,등산을 아주 싫어하거나 평소 너무 안 걷는 사람들은 다소 무리일 수 있습니다. 어리목은 초기에 매우 가파른 길이 한 시간 있어서 힘들지만 지나고 나면 양떼목장 혹은 몽고의 초원같은 평화로운 분지가 나타나 평온하며 더 가면 백록담이 보이는 윗세오름까지가 적당하고. 가능하다면 반대편 영실로 내려가면 한번에 2가지 다 볼수 있어 좋습니다. 영실은 가파른 절벽. 기암괴석. 말과 노루가 노는 평원 등으로 지루한 길이 없습니다. 두 코스 다 주로 돌길이지만 영실이 조금 짧습니다.,2017년 6월 22일
한라산 국립공원,민호 권,한라산 영실코스,"영실 코스를 이용하여 다녀왔는데, 등산로를 깔끔하게 만들어놔 등산하기에 편한 코스였고, 숲이 우거진 부분도 있고, 하늘을 다 볼 수 있는 초원이 있는 부분도 있어서, 지루하지 않게 등산을 할 수 있었어요!",2017년 6월 8일 
한라산 국립공원,Don6638,유네스코 자연유산 한라산 관음사 코스,"8.7킬로. 난이도 가장 높은 코스답게 오늘 힘들게 다녀왔어요.  하지만 경치가 워낙 압도적으로 좋아서 매우 만족입니다.코스가 매우 길고, 바위길이 많아 스틱을 꼭 준비하는 것이 좋아요.",2017년 5월 27일
한라산 국립공원,guromuro,제주의 랜드마크,힘든 등산이었지만 정상에서의 바람이 너무 상괘했어요정상 바로 전에 쉬는곳이 있는데 이름은 잊어 버렸지만 너무 아름답고 편안했습니다아침 일찍 올라가야 점심먹고 내려올수 있는거 같아요제가 좀 느려서 그런지 모르겠지만사람이 너무 많네요,2017년 5월 5일 
한라산 국립공원,icarusjm,나홀로 등정... 가쁜 숨으로 마시는 상쾌한 공기,"기상 시간은 약 4시 30분.. 이렇게 서둘러 일어난 건, 오늘 첫 일정이 한라산 등산이기 때문.. 뒤에 다시 설명하겠지만, 일정 시간이 지나면 정상까지 오르지 못할 수도 있다. 열심히 차를 달려, 한라산 국립공원 도착.. 현재 개방된 등산코스는.. 성판악으로부터 출발하는 코스뿐이라고.. 아까 잠시 언급했던 시간.. 춘추기인 지금.. 12시 30분까지 진탈래밭 대피소를 통과하지 못하면, 정상인 백록담까지 오를 수 없다. 백록담에서는 2시 전에 하산을 시작해야 하는데, 진달래밭 대비소부터 백록담까지 산행 시간이 평균 1시간 30분이기 때문.. 12시 30분에 진달래밭 대비소를 통과한다면, 백록담에 도착해서도 여유 없이 곧바로 하산을 시작해야 한다. 그러니 충분한 시간을 가지도 등산을 시작하기를 권한다. 다만 너무 이르면 아침 안개, 운무, 개스가 심할 수 있다. 성판악 ~ 진달래밭 대피소.. 기준 산행 시간 3시간.. 진달래밭 대피소 ~ 백록담.. 기준 산행 시간 1.5시간.. 그래서 총 4시간 30분.. 총 산행 거리는 편도 9.6km, 왕복 19.2km이다. 20km에 달하는 산행 거리.. 무척 긴 코스이다. 대한민국(남한)에서 가장 높은 봉우리를 오르는 것이다. 구두, 슬리퍼, 밑창이 얇은 운동화 등등은 정말 삼가야 할 것이다. 충분한 식수 준비는 필수다. 진짜 숨이 턱까지 차오르는데 끝도 없이 올라가야 한다. ㅠ_ㅠ  아.. 진짜 너무 힘들다. 진짜 더는 못오르겠다는 표정으로 얼굴에 극강의 못생김이 덕지덕지 묻을 때쯤.. 감격의 정상 도착!! 진달래밭 대피소부터 약 1시간 15분 정도 걸렸나? 암튼 기준 시간인 1시간 30분보다 15분 줄였다. 휴식도 산행의 일부이니, 밥 먹고 쉬고 했던 시간들 다 포함해 총 4시간 10분 정도가 소요됐다. 성판악부터 백록담까지의 기준 시간이 4시간 30분이니, 얼추 남들 하는 만큼은 올라왔나 보다. 다행히 백록담을 볼 수 있었다. 겸손한 양의 담이 고여있었지만.. 바람이 엄청 차기는 했지만, 그래도 참 상쾌한 공기였다.",2017년 4월 27일
한라산 국립공원,mgnstar00,명산 한라산,사람이 많았지만 상쾌한 등산 했습니다정상 까지는 꽤 힘든 등반이었지만 풍성한 자연림 산림욕을 하면서 기분이 좋았습니다신기한 자연을 감상하면서 상쾌한 등반이었습니다또 등반하고 싶습니다,2017년 4월 12일
한라산 국립공원,으헤헤헤헹,한라산 올라가서 등산하면 너무 좋죠,한라산 올라가서 등산하면 너무 좋죠 자연을 만끽할수 있습니다. 추천합니다. 꼭 올라가보세요.,2017년 4월 5일 
한라산 국립공원,현민 신,힘들어용,"눈오는날 아이젠 안차고 등반했어용미끄러지고 다치고, 힘들었어용등산 하실때 먹을것좀 가지고 가세요전 먹을것 안가져갔다가 다른 등산객한태음식 얻어먹었어요 ㅜㅜ하산하고 3일동안 다리가 아프내용",2017년 3월 25일
한라산 국립공원,bonghwa,사계절이 너무 멋짐,계절별로 특생이 있다 다양한 코스로 올라갈 수 있는데 개인적으로 겨울산이 가장 멋진것 같다,2017년 3월 16일
한라산 국립공원,jh0922,친구들과의 추억여행,한라산 백록담!!!  정말 힘들었다 근 20년만의 한라산 등반이었다하지만 등반하면서의 힘들었던 기억들은 백록담에 도착하는 순간환희로 변해버릴만큼 웅장하며 멋있었다  다음번에도 다시와야겠다그리고 한라산 등반의 팁을 드리자면 백록담에서 인증샷을 찍은후 성판악 한라산입구 안내소에 보여주면 인증서를 그자리에서 만들어준다인증서를 못받은게 정말 아쉽다 다음번 등반때는 꼭 받을거다,2017년 3월 7일 
한라산 국립공원,123minyy,눈내린 겨울 한라산은 완전 멋지네요,눈내린 겨울 한라산은 완전 멋지네요겨울에 꼭 가보고싶어서성판악 코스로 왕복 9시간동안 다녀왔어요물론 엄청 힘들긴하지만 너무 좋았어요장관입니다..언젠가 또 가고싶어요ㅎ,2017년 2월 23일
한라산 국립공원,juno3999,친한 친구들과 여행,제주에 이사와서 처음으로 한라산 정상을 등반하였습니다. 늦가을 등산이라 아무 기대없이 올랐지만 예상외로 눈처럼 하얗게 내린 서리꽃을 보게 되어 정말 환상적이었습니다. 생전처음 보는 서리꽃에 세상을 다 가진 느낌이었습니다. 너무 좋았습니다.  시간이 조금 흘렀지만 아직도 그 모습을 잊을 수 없습니다.  하루에도 여러번 한라산을 올려다 보지만 볼때마다 그때 생각에 가슴이 뜁니다.,2017년 2월 22일
한라산 국립공원,olle_white,앞.뒤가 다른 한라산,제일 짧은 영실은 날씨가 맑아서 좋았는데. 어리목코스로 가는 1100고지는 앞을 볼수 없을정도의 강풍과 안개로  걸을수도 없을 정도로 바람이 불어답니다. 올라가기전 날씨를 미리 체크해야 합니다.,2017년 2월 21일
한라산 국립공원,Jiyeon H,주차비만로 이렇게 좋은 곳을 이용할 수 있어요.,주차비만 내면 한라산 등반은 물론이고 한라산과 관련된 다양한 전시물을 볼 수 있습니다. 등반을 원하시면 등반을 하시고 아이들과 오시면 꼭 탐방지원센터에 있는 전시 관람하세요. 아이들이 너무 좋아하고 특히 1층에 있는 사진찍기는 2000원이면 기념사진을 찍을 수 있는데...재미로 찍어가면 좋은 기념품이 될 것 같습니다.,2017년 1월 31일
한라산 국립공원,씩씩한,정말 가볼만한 곳,정말 가볼만한 곳이라 생각합니다. 해발 1500m 이상을 걸어서 올라간다는게 장난은 아니지만 올라갈수록 빠르게 변하는 풍경과 식생이 보람을 느껴지게 해요. 다만 내려올때 다리가 후들거리니 주의하세요. 그리고 백록담은 어느 코스에서 들어가야 볼수있는지 시즌마다 다른것같으니 잘 알아보고 가세요,2017년 1월 28일
한라산 국립공원,haesoltrip,힘들지만 최고의 등산여행!,관음사-관음사코스로 다녀왔습니다등산로길이 얼음이 많이 있어서 아이젠과 등산스틱은 필수입니다.등산은 힘들었지만 정상에서의 일출과 백록담의 풍경은 그 수고를 잊게끔 만들었습니다,2017년 1월 18일
한라산 국립공원,mungip2017,제주도의 산 한라,"눈이 많이 쌓인 한라산의 정상까지 올랐습니다. 가끔씩은 춥기도 했지만요.,제주도 한라 산에서 외국인 과 도 사진을 찍고 찍어주기도 했습니다.참 재미있게 산을 올랐습니다.",2017년 1월 15일
한라산 국립공원,Jiyeon H,어리목탐방로로 겨울 산행,전날 눈이 살짝와서 멀리사 본 한라산이 너무 멋져서 가게 되었습니다. 어린 조카가 있었기 때문에 한라산 등반길 중 제일 쉬운 코스인 어리목탐방로를 선택했습니다. 끝까지 가지 못하고 1400m 쯤까지 올라가다 돌아왔지만 너무 설경이 멋있었습니다.,2017년 1월 15일
한라산 국립공원,MAKCHA79,한라산 정상,"눈내린 한라산의 정상입니다.조금 가파른듯 하지만, 그리 어렵지 않게 올라갔습니다.눈과 바람도 조금 있었지만, 시원한 경치와 함께 쾌적한 산행이었습니다.",2017년 1월 4일 
한라산 국립공원,Oh I,한라산 성판악.,성판악코스. 돌산과 돌계단 그리고 데크도 계단식. 나름 굉장히 힘들었던 산행. 하지만 운이 좋아서 날씨가 무척 맑고 청명해서 좋았음. 백록담도 한눈에 들어와서 멋졌음.,2017년 1월 4일 
생각하는 정원,Kim,"맛있는 음식, 영감을 받았습니다",점심 식사에서 먹은 갈치구이와 조림이 맛있었습니다다른 식당 보다 조용하고 깔끔한 분위기 속에서맛있는 음식을 접대 받아 좋았습니다정원을 만드신 분의 생각과 노고에 인생에 적용해볼만한 교훈을 받은 것 같습니다.,2022년 8월 6일 
생각하는 정원,박현진,행복한 시간,자연친화적인 제주에서 여행을 마치고여행을 마무리하는 행선지로 한적한 저지리에 왔는데 편안한 마음으로 잘 감상하고 갑니다. 전망대에서 조망하는 생각하는 정원의 풍경이 아름다웠습니다. 다음에 할아버지 모시고 다시 한번 오고 싶은 오랜 시간 정성을 들여 가꾼 곳임을 느낄 수 있었습니다. ^-^,2021년 9월 17일
생각하는 정원,형욱 김,많이 실망,"분재 좋아하는 사람들이 많지 않고서야 왜 이렇게 평점이 높은지 이해가 안되게... 분재 말고는 볼게 없음나무들이 자연스럽게 자라는게 당연하다고 생각하는데, 분재를 개인적인 생각으로 나무에게 유익하다고... 사람도 분재처럼 가꿔야된다는 주인의 생각이 무척이나 위험한 발상이라고 여겨짐",2021년 2월 5일 
생각하는 정원,Tae Ho L,영적인 정원,저지리 자체가 영적 기운이 강한 곳인데 그중에서 생각정원의 기운이 정말 좋아요.한번 보고나면 영혼이 정화되는 느낌이에요강추입니다,2020년 8월 20일
생각하는 정원,"Yun, Sung",생각하는 정원은 ing,"생각하는 정원은 심미적 가치를 넘어선 ""설립자""의 개척정신과 긍지가 담긴 공간으로, 그 철학과 인문학적 가치를 엿볼 수 있었습니다.아직도 50%로 밖에 완성된 것이 아니다는 원장님의 말씀에 겸손함과 깊은 열정을 느끼며, 이 곳의 아름다움이 현재 뿐 아닌 시공을 초월하여 계속 진화하는 가치를 가진 정원이 되지 않을까하여 앞으로가 더욱 기대되는 곳이었습니다.개인적으로 생각하는 정원에 진화하는 정원이라는 서브네임을 지어드리고 싶을 정도였습니다.이곳을 방문하실 분들은 나무 뿐 아니라 배치된 돌, 석축, 대문 및 전망대에서 보는 경치까지 모든 정원의 다양한 아름다운 자원들을 즐기고 오시길 추천합니다.",2020년 6월 8일 
생각하는 정원,경익 박,이름 값하는 정원입니다.,"생각하는 정원.정원과 분재를 보러가는 것이 아니다. 글을 읽기 위해 간다. 글을 읽고 생각하는 것이 가장 좋았다.이름 값을 한다.  아, 점심 유기농뷔페가 정말 맛있다고 들었다.",2020년 4월 7일 
생각하는 정원,rijabel,‘나는 다른이에게 분재를 키우라고 절대 권하지 않습니다’,"지인의 소개로 입구를 들어갈때만 하더라도 그저 제주의 여느 관광지처럼 예쁜 정원 정도겠거니 생각했습니다. 하지만 정원의 길을 따라 산책의 끝무렵쯤 도착한 찻집에서 성범영 원장님을 뵙고 정말 많은 생각을 하게 되었습니다.혹 생각하는 정원 방문 전 이 글을 보신다면 아름다운 정원, 멋진 분재들도 좋지만나무들 마다 써있는 팻말의 글귀들을 꼭 천천히 읽어보시고 떠오르는 생각을 품고 정원을 돌아 보시길 감히 권해드립니다. 그리고 기회가 되신다면 꼭 원장님을 뵙고50여년간 분재와 나무에 미친 두루외(미친놈)가왜 다른이에게는 분재를 키우라 절대 권하지 않는지꼭 한번 생각해보는 시간이 되시길 바랍니다.",2020년 1월 2일 
생각하는 정원,혁기은,너무 아름다운 정원,전주에서 여행와서 처음가봤는데 들어왔더니 귀여운 작은 나무들이 많이보였어요.전망대 경치도 너무좋구옇ㅎ아주 아름다워용,2019년 12월 28
생각하는 정원,Dong jin S,이름이 딱 어울리네요,정말 생각하는 정원이라는 이름이 어울리네요. 역사와 문화가 있는 곳이라 추천합니다. 멋진 분재와 돌들로 이루어진 정원과 이를 만드는 과정을 통해 자연으로부터 배운 원장님의 통찰들이 이 장소를 가치있게 한다고 생각합니다.,2019년 12월 7일
생각하는 정원,starrr m,큰 곳은 아니지만 ㄱ래도 들르기 좋습니다,큰 곳은 아니지만 ㄱ래도 들르기 좋습니다. 들러서 즐거운 추억 많이 만드세요. 겨울에 가기엔 적합하지 않으나 봄여름가을에는 추천!,2019년 11월 14
생각하는 정원,Happy cat,꼭 혼자 와봐야 할 곳,"여럿이 어울려 슥슥 지나가며 봐서는 절대 이 공간이 주는 힘을 온전히 느낄 수 없을 것입니다. 대한민국에 이런 곳이 있다니.. 공간 구석구석 어느 하나 그냥 이루어진 것이 없고,생명의 힘이 사람의 사랑으로 아름답게 뻗어나가는 작품들이 발걸음을 끝없이 멈추게 합니다. 이곳의 평화로운 에너지에 먼저 감사하게 되고,거닐다보면 끝없이 떠오르는 영감과 통찰에,이곳을 방문한 것은 평생을 잊지 못할 순간으로 변해갑니다.",2019년 10월 31
생각하는 정원,Sungmin choi,제주도에 와서 여기를 안 오신다구요?,"나 홀로 여행 중, 우연히 들른 이 곳에서 많은 영감을 받았습니다.분재된 나무를 본다기보다 그 속에 있는 삶과 역사를 배웁니다. 복잡해진 머리 속을 고요하고 평화로운 정원에서 치유 받습니다. 여러분들도 답답한 사회에서 받은 스트레스, 이 곳에서 풀고 가시길 바랍니다.",2019년 10월 25
생각하는 정원,jihye kim,나의 못난 부분을 버리고 나를 성장시켜준 정원,회사워크샵일정으로 첫방문. 여태 참 많은 나무와 분재들을 보아 왔지만 정말 이곳은 생각을 하게 해주는 정원이었다. 운이 좋게도 대표님의 해설과 함께 하여 나무들이 주는 교훈을 너무나도 많이 얻어 갈 수 있었다. 분재의 뿌리가 올라 올 때 물을 주면 썩어 버리고 2~3년에 한번 잔뿌리에 묻은 흙까지 털어내고 뿌리들을 정리하면 또 나무는 죽는줄알고 새순을 뻗어내고 다시 자란다 나의 고정관념을 버리고 새롭게 자라나고 싶다 변화의 순간을 정말 잘 정리하게 해준 소중한 공간이다,2019년 10월 7일
생각하는 정원,내편짱,나무와 인생~♡,처음 접해본 이기분이 몰까?생각없이 바라봤던 분재들 ~ 지금껏 관상용으로만 생각했던게 어찌나 부끄럽던지ㅠㅜ하나하나 기치가있고 뜻이있고 내재되어있는 의미들이내가 살아가는 삶어 힐링 치유 하나가 된다는게 깊이공감~~왜 뿌리에 가지가많아야하는지왜가지를 쳐야하는지왜 새순이 나는지많은 역경과 고난을 헤쳐가기위한 나름데로의 생존본능,2019년 10월 7일
생각하는 정원,오아름,고정관념을 버리자.,"지난번 강의때도 그렇지만 버려야할것사람은 얻으려고만하지...생각보다 본인이 가지고 있는것을 버리지 못하는데 공통적으로 말씀하신게출발전 버려야할것에 대한 이야기들을 많은분들이 해주셨다.이곳도 나무를 비유해 이야기해주셨지만고정관념,편견등 우리의 나쁜 습성들을 정리하고버려야겠다는 생각을 다시 했더것 같다.귀한 시간내서 강의해주신 대표님 감사드리고교보 지점장 다음기수도 꼭 명강해주세요^^♡",2019년 10월 7일
생각하는 정원,교보 신사,너무 감동,너무 감동입니다 계절마다 방문해서 분재의 변화를 보시면 인생에 대한 고찰을 할수 있는 좋은 곳이고 자녀들의 교육적인 측면에서도 최고입니다. 강추합니다. 자랑스러운 대한민국의 유산입니다.,2019년 10월 7일
생각하는 정원,노현명,생각하는 정원에서 생각하다,"나무에서 인생과 경영을 본다고 생각해본적이 없었다.그러나 나무엔 인생과 경영이 들어있다!!그속에서 배우는 내가 가야할 길, 정답을 찾아서 돌아가고 싶다",2019년 10월 7일
생각하는 정원,so yoon,10월 8일 교보생명 FP지점장후보 마인드혁신과정 신2기 리뷰~,"분재 하나하나에 철학이 담겨있고, 우리의 인생이 담겨있었습니다.많은것을 배워서 갑니다. 저의 고정관념을 버리고, 새로운 변화에 적극적으로 행동하겠습니다. 생각하는 정원에서...",2019년 10월 7일
생각하는 정원,안윤섭,사색과 인생이 숨쉬는 곳,"인생의 의미를 생각하게 하고, 어떻게 살아가야 하는지 사생활 수 있는 공간. 환타스틱한 공간 또한 경영자, 학생, 직장인 구분하지 않고 꼭 방문해야 하는 곳",2019년 10월 7일
생각하는 정원,박영휴,고정관념을 잘라내기,"나무와자연에서 현재,과거 그리고 미래를 생각할 수 있는 좋은 시간과 말씀을 얻고 갑니다.나의 고정관념을 잘라내고 오랫동안 좋은 삶을 살아가길 희망해봅니다.",2019년 10월 7일
생각하는 정원,shhhh,새로운 생각을 할 수있게 도와주는 정원입니다,"정원을 보며 생각을 달리 할 수 있을거란 생각못했습니다.분재, 나무를 보며 어떠한 철학을 가지고 생각을 어떠한 방식으로 해야되는지 조금은 깨달을수 있었습니다.방문 추천드립니다.",2019년 10월 7일
생각하는 정원,travleholic,생각하는정원,"조용하고, 나무많고, 생각하기 좋고 설명도 친정하고 자세하고생각하기 매우 좋은 곳나무 많아서 생각하기 좋습니다제주도 명소네요",2019년 10월 7일
생각하는 정원,우찬희,분재로 보는 인생사,"나무 한그루를 보며 태풍이라는 시련속에서 겪는 고난, 그리고 그 고난속에서 피어나는 새 생명 단적으로 이러한 예 뿐만 아니라, 나무를 보고 느껴진 다양한 점들 자연환경, 천성, 가지치기, 분갈이의 중요성까지.그냥 나무를 가만히 쳐다보며, 나무를 통해 얻을 수 있는 교훈들을 배운 그런시간 이었습니다. 책임감으로... 사랑을 다한다면 깨달음이라는 결과를 주는 치유와 안정의 나무.감사한 이야기와 함께 감사한 생각을 담을 수 있었던 생각하는 정원 이었습니다.",2019년 10월 7일
생각하는 정원,서성민,너무 유익했습니다~,오늘 방문해서 나무와 인생에 대해 많은 생각의 시간을 가진것같아요~시간있을때 다시 방문해보고싶네요!!! 정말 유익했습니다~,2019년 10월 7일
생각하는 정원,jw_61,"생각하는 정원 (고집 , 잡생각을 잘라내자)",아무생각없이  찾게된  이 곳에서  생각을 하게 만드는 시간이 되었다 제주에 와서  힐링을 원한다면  한번 쯤 와서  천천히  걷는 것을 추천 !,2019년 10월 7일
생각하는 정원,동균 강,여러가지 분재를 통해 배웠습니다.,"다양한 분재와 설명을 들으며, 우리의 삶과 많이 닮았다는 걸 느꼈고, 많이 배우고갑니다. 제주도에 방문하시면 한번 방문하시는걸 추천드려요",2019년 10월 7일
생각하는 정원,jason,제주도에서 꼭 가봐야할곳,아무생각안하고 갔다가 제일 좋았던 곳.분재 하나하나 정원 한곳한곳이 자연의 아름다움에 대해서 나 자신에 대해서 살아왔던 삶에 대해서 다시 생각하게 했던 곳.사람도 적었고 뷔페도 너무나 맛있고 먹으면서 정원을 볼수 있어서 너무 좋았어요.글을 하나하나 읽으며 많은것을 배우고 마음이 진짜 차분해지는 곳.다음 제주에 올때도 꼭 다시오고싶어요.,2019년 9월 19일
생각하는 정원,junseok,반세기 혼이 깃든 정원,"산책하기 좋은 공원은 참 많습니다. 산책만을 위해 생각하는 정원에 입장료를 냈다면 심심하게 느껴질수도 있습니다.이곳은 한 농부가 반세기 동안 일궈놓은 정원입니다. 전체면적은 크다고 볼수없지만 산책로를 따라 걸으며 나무에 대한 생각, 원장님의 철학을 찬찬히 읽다보면 생각하는 정원은 세상에 단 하나뿐인 정원이 됩니다. 글을 다 읽고 원장님이 궁금해 진다면 직원분들께 묻고 뵙고 가셔도 됩니다. 차한잔 마시고 정원의 홍보대사로 임명될지도 몰라요 ㅎㅎ",2019년 8월 26일
생각하는 정원,Mobile67034501116,땀과 사랑으로 일궈낸 정원,"비가 오는 제주도는 반갑지 않았지만, 보슬비를 맞으며 걷는 정원은 그야말로 인생에 대해 한번쯤 다시 생각해 볼 수 있는 시간을 주는 장소였습니다. ""나무는 뿌리를 잘리주지 않으면 죽고, 사람은 생각을 바꾸지않으면 빨리 늙는다.""   철학이 가득 담긴 정원에서 정말 좋은 시간 보냈습니다.  제주도에 온다면 꼭 방문해보기를 추천합니다.",2019년 8월 25일
생각하는 정원,Voyage38272290932,"“여느 자연(숲)에는 없고, 생각하는 정원에만 있는 것?”","그것은 아마도 나무에 대한 사랑일 것이다. 여느 울창한 숲속에서의 나무들은 제각기 자유분방한 모습으로 성장을 위해 환경에 몸을 맡긴 채 나가지만, 정원에서의 나무들은 모두 제 모습에 맞는 잘 꾸며졌다기 보단 기품 있는 우아한 몸짓에서, 나무 귀한 줄 알고 나무 예쁜 줄 아는 그런 마음의 내리사랑으로 나무를 위할 줄 아시는 원장님의 사랑을 느낄 수 있었다.",2019년 7월 29일
생각하는 정원,체리구름,포근한 정원의 품안에서 내 삶을 돌아본다...,"'나무도 자연의 순리를 받아들이며 변화하고 성장하는 것처럼,우리의 아픔과 고뇌는 내일의 변화와 성장을 위한 것이 아닐는지요...'_생각하는 정원 정원청소부 님의 글 중에서장맛비 인데도 정원안에는 촉촉한 비가 내리고 있었다..요즘 자녀들의 문제로 고민이 많았는데 정말 귀한 시간을 내시어 안내해준 정원청소부라고 자칭 하시는 성주엽 실장님께서 분재와 우리의 삶에 대해 이야기 해 주신다...""나무는 가장 단맛을 내는 열매를 맺기 위해 자기의 온몸을 쥐어짜내어 열매를 생산해 냅니다. 그래서 몸통에 주름이 많은 나무의 열매가 가장 답니다"" 이 한마디에 나는 뒷통수를 맞은 듯 했다...나는 자녀들을 위해 얼마나 나 자신을 쥐어 짜내었는가...답은 거기에 있었다...다음에는 온 하루를 나무들의 이야기를 들어보고 싶다... 생각하는 정원... 정말 이아름다운 정원에 딱 맞는 이름입니다...",2019년 7월 10일
생각하는 정원,Kim,정원이 아닌 '생각하는' 정원인 이유,‘생각하는 정원’을 방문하는 것이 국민의 한 사람으로서 자랑스럽고 쉽게 방문할 수 있는 여유가 된다는 것 또한 무척이나 감사했다. 작년 정원을 처음 방문을 했을 때와는 달리 또 한 단계 한 단계 완성되기까지 수많은 인고를 거치고 있는 노력이 눈에 보여 놀라우면서 존경스러웠다. 분재 각각에 생각하고 자신에 대해 돌아볼 수 있게 하는 글 들을 읽다보면 지금 뿐만이 아니라 앞으로 이 땅을 이끌어 나갈 이들에게 해답을 주는 정원의 이름이 왜 ‘생각하는 정원'인지 알 수 있는 시간이 되었다. 앞으로 다가 올 수 있는 많은 어려움이 있을 때 원장님의 진심어린 말씀들을 통해 나만이 아닌 우리나라까지 생각하는 사람이 되겠다 다짐한 소중한 시간이였다. 시간이 된다면 올해 한번더 방문을 희망한다.,2019년 7월 5일 
생각하는 정원,Mahkaw K,분재를 통해 삶의 이치를 깨우치다,나무를 기르고 가꾸는 일이 사람이 성장하는 것과 다르지 않다. 분재를 통해 뿌리와 가지를 정리해주듯 사람은 낡고 고정된 생각들을 적시에 잘라주고 정리해주어야 창의적이고 도전적인 생각을 할 수 있다. 새로운 것은 비워내야 다시 채울 수 있음을 원장님은 분재를 통해 깨달은 걸까'미친놈' 이란 소리를 듣는 일은 외롭고 고난의 길을 걷는 것이다. 그길을 외로이 걸으며 우직하게 고군 분투한 원장님의 수십년. 그 인생을 통해 배운 가치는 널리 공유되어야 함이 마땅하다.,2019년 7월 5일 
생각하는 정원,Linndaa,Travel,흥미로운 농장과 아름다운 장소❤️ 🌲☘️🍀🍂🍁🌴🌱🎍🎋🌿🍃🌾🌺🌹🌸🌼🌻🌻💓💓,2019년 7월 5일 
생각하는 정원,Quest57739103470,차분하게 힐링 할 수 있었습니다!,다른 관광지와 마찬가지로 큰 기대없이 왔다가 입구에서부터 친절한 설명을 해주셔서 관심을 가지고 진지하게 관람할 수 있던 것 같습니다. 많은 유명한 분들이 호평을 하신만큼 짧은 시간동안 많은 생각들을 할 수 있었습니다! 덕분에 힐링되는 시간을 가족과 함께 오랜만에 즐길 수 있었습니다,2019년 7월 2일 
